Chi?u cao (mét),Cân n?ng (Kg) ví d?: 65,S? b?a ?n trong ngày,T?n su?t ?n sáng trong tu?n (??c tính bu?i/tu?n),T?n su?t ?n t?i (sau 21h) trong tu?n (??c tính b?a/tu?n),"T?n su?t s? d?ng th?c ?n nhanh nh? pizza, hamburger (??c tính b?a/tu?n)",L??ng rau c? tiêu th? trong m?i b?a ?n (??c tính gam/b?a ?n),L??ng n??c tiêu th? m?i ngày (??c tính lít/ngày),"Tiêu th? th?c ph?m giàu protein nh?: Th?t bò, th?t gà, phô mai, tr?ng, s?a... (??c tính gam/b?a ?n)",Th?i gian t?p th? d?c trong tu?n (??c tính gi?/tu?n),T?n su?t tham gia các ho?t ??ng th? d?c th? thao (??c tính gi?/tu?n),T?n su?t s? d?ng r??u bia và ?? u?ng có c?n,Hút thu?c lá và các lo?i thu?c ch?a nicotine,Th?i gian ng? trung bình m?i ngày (ti?ng/ngày),Yêu c?u v? ho?t ??ng th? ch?t (lao ??ng chân tay) trong công vi?c hi?n t?i,Khu v?c s?ng có công viên không,"Th?i gian s? d?ng thi?t b? công ngh? (?i?n tho?i, máy tính. laptop...) trong ngày (gi?/ngày)","Tr?m c?m, lo âu và các v?n ?? không ?n ??nh tâm lý"
1.59,49,4,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,6,1,Không,3,Không
1.49,41,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,2,Không,5,Không
1.50,44,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8,2,Không,4,Không
1.53,45,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,2,Không,3,Không
1.80,66,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,7,4,Không,4,Không
1.68,98,4,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,9,2,Không,4,Không
1.60,54,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8,3,Không,3,Không
1.52,45,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,7,4,Không,3,Không
1.51,39,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,2,Không,3,Không
1.48,46,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8,3,Không,3,Không
1.59,53,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,2,Không,3,Không
1.72,50,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,10,3,Không,5,Không
1.76,80,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,6,3,Không,4,Không
1.65,50,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,Trên 3 lít,T? 50 - 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,7,2,Không,1,Không
1.58,52,4,M?i ngày,T? 3 - 6 b?a/tu?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Ít,Không,7,2,Không,12,Không
1.59,50,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,8,4,Không,3,Không
1.62,49,3,Không ?n,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8,4,Không,2,Không
1.63,45,3,T? 1 - 3 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,7,4,Không,3,Không
1.68,60,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,7,3,Không,4,Không
1.55,46,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,3,Không,4,Không
1.65,45,4,M?i ngày,T? 3 - 6 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,7,3,Không,4,Không
1.48,43,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8,1,Không,6,Không
1.69,55,3,M?i ngày,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,G?n nh? không,Ít,Không,8,3,Không,5,Không
1.67,53,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,8,2,Không,1,Không
1.55,47,3,T? 1 - 3 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,6,3,Không,3,Không
1.63,54,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,Trên 100 gram,Trên 3 gi?,D??i 2 gi?,Không,Không,12,3,Không,7,Không
1.53,53,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Không,Không,8,3,Không,4,Không
1.75,76,3,M?i ngày,Không ?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,8,3,Không,3,Không
1.70,75,3,M?i ngày,T? 3 - 6 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,3,Không,3,Không
1.67,65,4,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8,2,Không,4,Không
1.59,43,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,9,1,Không,3,Không
1.54,45,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,6,3,Không,3,Không
1.65,57,4,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Không,Không,7,3,Không,4,Không
1.65,42,3,M?i ngày,M?i ngày,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,10,3,Không,4,Không
1.59,49,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Ít,Không,10,3,Không,4,Không
1.63,80,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Ít,Không,8,1,Có,15,Không
1.75,70,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,Trên 100 gram,T? 2 - 3 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Trung bình,Không,7,3,Có,5,Không
1.63,49,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Không,Không,9,5,Không,4,Không
1.69,70,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,G?n nh? không,Không,Không,8,2,Có,5,Không
1.62,46,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Không,Không,8,1,Không,4,Không
1.68,58,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Không,Không,7,4,Không,4,Không
1.77,75,4,M?i ngày,M?i ngày,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,8,3,Có,2,Không
1.66,44,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,10,4,Không,3,Không
1.68,60,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,Trên 3 lít,T? 50 - 100 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,6,1,Có,10,Không
1.72,56,3,Không ?n,M?i ngày,T? 3 - 6 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,Trên 100 gram,G?n nh? không,T? 2 - 4 gi?,Ít,Không,8,3,Không,4,Không
1.57,42,3,T? 3 - 6 b?a/tu?n,M?i ngày,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,7,3,Không,5,Không
1.70,54,3,T? 3 - 6 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Ít,Không,8,3,Không,5,Không
1.61,52,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,5,3,Không,3,Không
1.70,58,3,M?i ngày,Không ?n,T? 3 - 6 b?a/tu?n,Ít h?n 50 gram,T? 2 - 3 lít,Trên 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,8,3,Không,3,Không
1.75,75,3,M?i ngày,M?i ngày,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,7,3,Không,4,Không
1.75,59,2,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,Trên 100 gram,Trên 3 gi?,Trên 4 gi?,Ít,Có,7,1,Không,8,Có
1.75,70,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,Trên 100 gram,T? 2 - 3 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Trung bình,Không,7,3,Có,5,Không
1.52,58,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,6,3,Có,3,Không
1.54,50,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Ít,Không,10,2,Không,5,Có
1.63,43,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Ít,Không,6,3,Có,7,Không
1.60,50,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,6,2,Không,6,Không
1.54,37,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,7,1,Có,3,Có
1.54,43,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Trung bình,Không,8,3,Không,3,Không
1.65,46,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,7,3,Không,7,Không
1.50,37,2,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,D??i 2 gi?,Không,Không,8,2,Không,4,Không
1.52,43,2,Không ?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Không,Không,7,1,Không,10,Có
1.51,48,2,Không ?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,7,4,Không,3,Có
1.61,41,2,T? 1 - 3 b?a/tu?n,Không ?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,2,Không,4,Không
1.82,60,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 2 - 3 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Ít,Không,8,3,Không,2,Không
1.62,54,3,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Ít,Không,10,1,Không,3,Có
1.65,47,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,Trên 4 gi?,Ít,Không,7,3,Không,3,Không
1.66,75,2,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,8,3,Không,1,Không
1.83,54,2,Không ?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Không,Không,7,3,Không,7,Không
1.61,60,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,7,3,Không,2,Không
1.55,40,4,T? 3 - 6 b?a/tu?n,T? 3 - 6 b?a/tu?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,7,1,Có,6,Không
1.62,42,3,M?i ngày,M?i ngày,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Ít,Không,8,3,Không,3,Không
1.53,49,2,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,3,Không,2,Không
1.56,45,2,Không ?n,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 2 - 3 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,7,3,Không,4,Không
1.57,50,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Không,Không,10,1,Không,3,Không
1.53,40,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,D??i 2 gi?,Không,Không,10,2,Không,3,Có
1.53,40,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,10,3,Không,3,Không
1.58,47,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Không,Không,8,3,Không,3,Có
1.54,47,2,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,D??i 1 gi?,G?n nh? không,Không,Không,10,2,Không,4,Không
1.53,47,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,D??i 2 gi?,Ít,Có,7,2,Không,3,Có
1.60,50,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,G?n nh? không,T? 2 - 4 gi?,Không,Không,7,2,Không,1,Không
1.60,41,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8,2,Không,3,Không
1.63,50,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,9,1,Không,4,Không
1.63,75,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Ít,Không,11,3,Không,3,Không
1.69,62,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,Ít h?n 50 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Có,9,1,Không,3,Không
1.71,53,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,9,1,Không,3,Không
1.63,51,3,M?i ngày,Không ?n,T? 3 - 6 b?a/tu?n,Trên 100 gram,T? 2 - 3 lít,Trên 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,9,2,Không,4,Không
1.74,62,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Trung bình,Có,10,1,Không,1,Không
1.63,52,3,Không ?n,T? 1 - 3 b?a/tu?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,7,2,Không,3,Không
1.70,51,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,9,2,Không,3,Không
1.56,52,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8,3,Không,4,Có
1.65,70,3,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Trung bình,Có,8,3,Không,1,Không
1.60,63,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,Ít h?n 50 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,8,2,Không,2,Không
1.71,68,3,Không ?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,T? 1 - 3 gi?,D??i 2 gi?,Trung bình,Không,7,3,Không,1,Không
1.72,62,2,Không ?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Trung bình,Có,8,5,Không,1,Không
1.50,56,2,Không ?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,7,1,Không,6,Không
1.65,50,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8,2,Không,1,Không
1.58,52,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,1,Không,4,Không
1.65,70,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Ít,Có,8,3,Có,1,Không
1.50,56,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,D??i 2 gi?,Không,Không,7,1,Không,3,Không
1.60,55,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,8,3,Không,4,Không
1.70,54,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Trung bình,Không,8,4,Không,1,Không
1.52,56,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,9,4,Không,1,Không
1.65,75,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Trên 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Có,10,3,Không,8,Không
1.60,60,2,M?i ngày,M?i ngày,Không ?n,Ít h?n 50 gram,T? 2 - 3 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Th??ng xuyên,Có,8,5,Có,1,Không
1.65,59,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,G?n nh? không,Nhi?u,Có,8,4,Không,1,Không
1.60,50,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,8,1,Không,4,Không
1.72,70,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,Trên 3 lít,T? 50 - 100 gram,Trên 3 gi?,G?n nh? không,Trung bình,Không,9,4,Không,3,Có
1.67,57,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8,3,Không,1,Không
1.55,55,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,7,3,Có,3,Không
1.65,60,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Trên 100 gram,T? 2 - 3 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Không,Có,10,4,Không,4,Không
1.60,65,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,8,2,Không,3,Không
1.70,70,3,M?i ngày,M?i ngày,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,10,3,Có,3,Không
1.50,60,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,8,2,Không,4,Có
1.68,57,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,10,2,Có,2,Không
1.70,60,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,Trên 3 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Nhi?u,Có,10,5,Không,3,Không
1.60,56,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8,3,Không,2,Không
1.65,60,4,Không ?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Trung bình,Có,10,5,Không,2,Không
